,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,Total revenue,Sales of goods and services* ( percent of total revenue),Cost of sales (direct expenses) (%),Operating expenses (indirect expenses) (%),Total expenses,Cost of sales (direct expenses),Operating expenses (indirect expenses),Net Profit/Loss,Total assets,Total current assets,Total liabilities,Total current liabilities,Total equity,Debt to equity ratio (times),Current debt to equity (%),Revenue to equity ratio (times),Net profit to equity (%),Gross margin (%),Percent of profitable businesses
19040,53,Real estate and rental and leasing,13.0,New Brunswick,1.0,Rural,3.0,All businesses,2018.0,810.0,205.9,,5.7,77.5,171.3,11.7,159.5,34.6,,,,,,,,,,94.3,74.1
19042,53,Real estate and rental and leasing,13.0,New Brunswick,2.0,Urban,2.0,Incorporated,2018.0,1433.0,390.6,40.8,5.9,79.3,332.7,23.1,309.6,57.9,2066.1,298.3,1510.2,328.0,555.9,2.7,59.0,0.7,10.4,85.5,
19043,53,Real estate and rental and leasing,13.0,New Brunswick,2.0,Urban,3.0,All businesses,2018.0,2377.0,275.2,,5.3,79.0,232.0,14.6,217.4,43.2,,,,,,,,,,94.7,74.7
19045,53,Real estate and rental and leasing,24.0,Québec,1.0,Rural,2.0,Incorporated,2018.0,3938.0,275.6,51.4,9.9,68.9,217.1,27.2,189.9,58.5,1572.1,245.4,948.0,256.2,624.1,1.5,41.0,0.4,9.4,80.8,
19046,53,Real estate and rental and leasing,24.0,Québec,1.0,Rural,3.0,All businesses,2018.0,7941.0,178.7,,8.1,69.6,138.8,14.4,124.4,39.9,,,,,,,,,,91.9,79.2
19048,53,Real estate and rental and leasing,24.0,Québec,2.0,Urban,2.0,Incorporated,2018.0,24158.0,379.2,43.6,8.5,72.6,307.3,32.1,275.2,71.9,2506.2,451.5,1723.7,452.5,782.5,2.2,57.8,0.5,9.2,80.6,
19049,53,Real estate and rental and leasing,24.0,Québec,2.0,Urban,3.0,All businesses,2018.0,65089.0,200.9,,6.3,72.5,158.4,12.7,145.7,42.5,,,,,,,,,,93.7,81.4
19051,53,Real estate and rental and leasing,35.0,Ontario,1.0,Rural,2.0,Incorporated,2018.0,3307.0,308.8,48.4,10.3,71.6,253.0,31.9,221.1,55.9,1598.8,382.0,1060.1,318.9,538.7,2.0,59.2,0.6,10.4,78.6,
19052,53,Real estate and rental and leasing,35.0,Ontario,1.0,Rural,3.0,All businesses,2018.0,8623.0,172.9,,8.1,66.1,128.2,14.0,114.3,44.7,,,,,,,,,,91.9,83.5
19054,53,Real estate and rental and leasing,35.0,Ontario,2.0,Urban,2.0,Incorporated,2018.0,41764.0,399.1,38.8,7.3,76.2,333.1,29.1,304.0,66.0,2516.8,670.4,1870.0,606.5,646.6,2.9,93.8,0.6,10.2,81.2,
19055,53,Real estate and rental and leasing,35.0,Ontario,2.0,Urban,3.0,All businesses,2018.0,113228.0,210.0,,5.9,72.0,163.5,12.4,151.1,46.5,,,,,,,,,,94.1,81.7
19057,53,Real estate and rental and leasing,49.0,Prairies,1.0,Rural,2.0,Incorporated,2018.0,5380.0,296.8,57.1,7.0,73.1,237.9,20.9,217.0,58.8,1717.0,383.3,955.2,310.7,761.8,1.3,40.8,0.4,7.7,87.7,
19058,53,Real estate and rental and leasing,49.0,Prairies,1.0,Rural,3.0,All businesses,2018.0,12086.0,169.4,,5.8,66.2,121.9,9.7,112.2,47.4,,,,,,,,,,94.2,84.3
19060,53,Real estate and rental and leasing,49.0,Prairies,2.0,Urban,2.0,Incorporated,2018.0,21914.0,389.7,48.3,8.5,72.9,317.0,33.0,284.0,72.7,2568.7,539.1,1795.3,541.6,773.4,2.3,70.0,0.5,9.4,82.5,
19061,53,Real estate and rental and leasing,49.0,Prairies,2.0,Urban,3.0,All businesses,2018.0,38121.0,265.7,,7.5,72.2,211.7,19.9,191.8,54.1,,,,,,,,,,92.5,78.2
19063,53,Real estate and rental and leasing,46.0,Manitoba,1.0,Rural,2.0,Incorporated,2018.0,707.0,271.3,42.4,4.8,74.6,215.4,12.9,202.4,55.9,1357.6,288.4,752.5,157.3,605.0,1.2,26.0,0.4,9.2,88.8,
19064,53,Real estate and rental and leasing,46.0,Manitoba,1.0,Rural,3.0,All businesses,2018.0,2097.0,135.3,,3.6,64.8,92.4,4.8,87.6,42.8,,,,,,,,,,96.4,86.9
19066,53,Real estate and rental and leasing,46.0,Manitoba,2.0,Urban,2.0,Incorporated,2018.0,2683.0,423.0,40.6,8.8,76.3,360.2,37.3,322.9,62.8,2359.2,456.0,1736.5,434.3,622.7,2.8,69.8,0.7,10.1,78.3,
19067,53,Real estate and rental and leasing,46.0,Manitoba,2.0,Urban,3.0,All businesses,2018.0,5416.0,278.7,,7.1,74.1,226.3,19.7,206.6,52.4,,,,,,,,,,92.9,79.6
19069,53,Real estate and rental and leasing,47.0,Saskatchewan,1.0,Rural,2.0,Incorporated,2018.0,1154.0,234.5,56.0,3.3,79.1,193.1,7.7,185.4,41.4,1444.1,406.8,576.3,155.4,867.8,0.7,17.9,0.3,4.8,94.2,
19070,53,Real estate and rental and leasing,47.0,Saskatchewan,1.0,Rural,3.0,All businesses,2018.0,3424.0,120.5,,2.6,62.0,77.9,3.1,74.7,42.6,,,,,,,,,,97.4,87.7
19072,53,Real estate and rental and leasing,47.0,Saskatchewan,2.0,Urban,2.0,Incorporated,2018.0,2888.0,377.1,38.1,6.4,72.8,298.6,24.0,274.6,78.5,2370.2,457.0,1611.3,415.4,758.9,2.1,54.7,0.5,10.3,83.3,
19073,53,Real estate and rental and leasing,47.0,Saskatchewan,2.0,Urban,3.0,All businesses,2018.0,5383.0,244.4,,5.6,71.2,187.8,13.7,174.1,56.6,,,,,,,,,,94.4,80.8
19075,53,Real estate and rental and leasing,48.0,Alberta,1.0,Rural,2.0,Incorporated,2018.0,3519.0,322.3,59.9,8.3,71.5,257.2,26.8,230.3,65.1,1878.7,394.7,1120.2,392.4,758.5,1.5,51.7,0.4,8.6,86.1,
19076,53,Real estate and rental and leasing,48.0,Alberta,1.0,Rural,3.0,All businesses,2018.0,6565.0,205.7,,7.2,67.8,154.3,14.8,139.5,51.4,,,,,,,,,,92.8,81.8
19078,53,Real estate and rental and leasing,48.0,Alberta,2.0,Urban,2.0,Incorporated,2018.0,16343.0,386.5,51.5,8.8,72.3,313.2,33.9,279.2,73.3,2638.2,567.3,1837.5,581.5,800.7,2.3,72.6,0.5,9.2,83.0,
19079,53,Real estate and rental and leasing,48.0,Alberta,2.0,Urban,3.0,All businesses,2018.0,27322.0,267.4,,7.9,71.9,213.5,21.1,192.3,53.9,,,,,,,,,,92.1,77.5
19081,53,Real estate and rental and leasing,59.0,British Columbia,1.0,Rural,2.0,Incorporated,2018.0,1848.0,308.6,60.0,15.2,63.5,243.1,47.0,196.1,65.5,1353.0,337.3,917.5,283.0,435.5,2.1,65.0,0.7,15.0,74.6,
19082,53,Real estate and rental and leasing,59.0,British Columbia,1.0,Rural,3.0,All businesses,2018.0,4588.0,172.2,,11.9,61.9,127.1,20.4,106.6,45.1,,,,,,,,,,88.1,82.4
19084,53,Real estate and rental and leasing,59.0,British Columbia,2.0,Urban,2.0,Incorporated,2018.0,21847.0,407.8,45.0,7.1,68.3,307.6,28.9,278.6,100.3,2806.2,680.6,2025.1,546.9,781.1,2.6,70.0,0.5,12.8,84.2,
19085,53,Real estate and rental and leasing,59.0,British Columbia,2.0,Urban,3.0,All businesses,2018.0,54007.0,215.5,,6.0,66.7,156.8,13.0,143.8,58.7,,,,,,,,,,94.0,83.0
19087,53,Real estate and rental and leasing,63.0,Territories,1.0,Rural,2.0,Incorporated,2018.0,89.0,593.5,56.3,7.8,84.8,549.4,46.0,503.4,44.1,2629.5,637.2,1970.5,514.0,659.0,3.0,78.0,0.9,6.7,86.2,
19088,53,Real estate and rental and leasing,63.0,Territories,1.0,Rural,3.0,All businesses,2018.0,180.0,326.1,,7.1,82.5,292.3,23.2,269.0,33.8,,,,,,,,,,92.9,82.2
19090,53,Real estate and rental and leasing,63.0,Territories,2.0,Urban,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19091,53,Real estate and rental and leasing,63.0,Territories,2.0,Urban,3.0,All businesses,2018.0,440.0,307.8,,6.8,72.1,242.9,20.8,222.1,65.0,,,,,,,,,,93.2,84.1
19093,53,Real estate and rental and leasing,60.0,Yukon,1.0,Rural,2.0,Incorporated,2018.0,10.0,127.1,42.3,1.4,63.3,82.3,1.7,80.5,44.9,755.8,182.8,503.9,234.8,251.9,2.0,93.2,0.5,17.8,96.8,
19094,53,Real estate and rental and leasing,60.0,Yukon,1.0,Rural,3.0,All businesses,2018.0,25.0,96.6,,0.7,61.4,60.0,0.7,59.3,36.6,,,,,,,,,,99.3,96.0
19096,53,Real estate and rental and leasing,60.0,Yukon,2.0,Urban,2.0,Incorporated,2018.0,146.0,446.1,49.5,11.6,66.2,346.9,51.6,295.3,99.1,1839.9,314.1,1382.4,433.5,457.5,3.0,94.8,1.0,21.7,76.6,
19097,53,Real estate and rental and leasing,60.0,Yukon,2.0,Urban,3.0,All businesses,2018.0,284.0,272.7,,10.1,65.9,207.4,27.6,179.8,65.3,,,,,,,,,,89.9,87.0
19099,53,Real estate and rental and leasing,61.0,Nordwest Territories,1.0,Rural,2.0,Incorporated,2018.0,47.0,630.4,61.1,6.3,81.0,550.3,39.6,510.7,80.1,2438.8,640.5,1801.8,521.0,637.0,2.8,81.8,1.0,12.6,89.7,
19100,53,Real estate and rental and leasing,61.0,Nordwest Territories,1.0,Rural,3.0,All businesses,2018.0,75.0,418.8,,6.1,79.8,359.8,25.6,334.2,59.0,,,,,,,,,,93.9,80.0
19102,53,Real estate and rental and leasing,61.0,Nordwest Territories,2.0,Urban,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19103,53,Real estate and rental and leasing,61.0,Nordwest Territories,2.0,Urban,3.0,All businesses,2018.0,151.0,383.0,,2.3,80.5,316.9,8.8,308.2,66.1,,,,,,,,,,97.7,78.1
19105,53,Real estate and rental and leasing,62.0,Nunavut,1.0,Rural,2.0,Incorporated,2018.0,32.0,685.1,50.6,10.1,91.2,694.2,69.3,624.9,-9.1,3495.0,774.4,2676.7,591.1,818.4,3.3,72.2,0.8,-1.1,80.0,
19106,53,Real estate and rental and leasing,62.0,Nunavut,1.0,Rural,3.0,All businesses,2018.0,80.0,310.8,,9.0,88.0,301.6,28.1,273.5,9.3,,,,,,,,,,91.0,80.0
19108,531,Real estate,0.0,Canada,1.0,Rural,2.0,Incorporated,2018.0,14351.0,270.2,47.0,7.8,72.5,217.0,21.2,195.8,53.2,1607.0,328.2,999.1,293.8,607.9,1.6,48.3,0.4,8.7,83.3,
19109,531,Real estate,0.0,Canada,1.0,Rural,3.0,All businesses,2018.0,34002.0,159.0,,6.1,67.7,117.5,9.8,107.7,41.5,,,,,,,,,,93.9,82.7
19111,531,Real estate,0.0,Canada,2.0,Urban,2.0,Incorporated,2018.0,107470.0,378.7,39.0,5.9,74.5,304.5,22.3,282.2,74.2,2620.3,587.7,1898.4,546.4,721.9,2.6,75.7,0.5,10.3,84.9,
19112,531,Real estate,0.0,Canada,2.0,Urban,3.0,All businesses,2018.0,271141.0,207.7,,4.8,72.0,159.6,10.1,149.6,48.0,,,,,,,,,,95.2,81.5
19114,531,Real estate,15.0,Altantic,1.0,Rural,2.0,Incorporated,2018.0,1398.0,248.4,40.3,7.7,78.8,214.9,19.1,195.8,33.4,1398.5,239.0,968.7,273.3,429.8,2.3,63.6,0.6,7.8,80.9,
19115,531,Real estate,15.0,Altantic,1.0,Rural,3.0,All businesses,2018.0,2518.0,172.5,,6.6,76.8,143.9,11.4,132.5,28.6,,,,,,,,,,93.4,76.4
19117,531,Real estate,15.0,Altantic,2.0,Urban,2.0,Incorporated,2018.0,4457.0,379.1,40.9,4.7,82.7,331.4,17.9,313.5,47.8,2260.1,324.7,1741.2,414.1,518.9,3.4,79.8,0.7,9.2,88.5,
19118,531,Real estate,15.0,Altantic,2.0,Urban,3.0,All businesses,2018.0,8052.0,253.3,,4.1,80.8,215.1,10.4,204.6,38.2,,,,,,,,,,95.9,76.1
19120,531,Real estate,10.0,Newfoundland and Labrador,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19121,531,Real estate,10.0,Newfoundland and Labrador,1.0,Rural,3.0,All businesses,2018.0,582.0,180.5,,10.4,78.8,161.0,18.8,142.2,19.5,,,,,,,,,,89.6,72.3
19123,531,Real estate,10.0,Newfoundland and Labrador,2.0,Urban,2.0,Incorporated,2018.0,835.0,341.3,36.0,5.5,84.8,308.2,18.8,289.3,33.1,2032.9,287.4,1583.1,372.7,449.8,3.5,82.9,0.8,7.4,84.7,
19124,531,Real estate,10.0,Newfoundland and Labrador,2.0,Urban,3.0,All businesses,2018.0,1537.0,228.6,,4.6,81.7,197.5,10.6,186.8,31.2,,,,,,,,,,95.4,72.7
19126,531,Real estate,11.0,Prince Edward Island,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19127,531,Real estate,11.0,Prince Edward Island,1.0,Rural,3.0,All businesses,2018.0,153.0,116.7,,4.6,80.9,99.8,5.4,94.5,16.9,,,,,,,,,,95.4,75.8
19129,531,Real estate,11.0,Prince Edward Island,2.0,Urban,2.0,Incorporated,2018.0,398.0,411.9,37.2,3.6,76.9,331.8,15.0,316.8,80.1,2030.5,325.3,1446.6,301.7,583.9,2.5,51.7,0.7,13.7,90.2,
19130,531,Real estate,11.0,Prince Edward Island,2.0,Urban,3.0,All businesses,2018.0,718.0,268.5,,3.5,75.4,211.8,9.3,202.5,56.7,,,,,,,,,,96.5,78.3
19132,531,Real estate,12.0,Nova Scotia,1.0,Rural,2.0,Incorporated,2018.0,503.0,253.5,43.1,7.8,75.9,212.2,19.8,192.5,41.2,1337.7,293.5,927.7,284.6,409.9,2.3,69.4,0.6,10.1,81.9,
19133,531,Real estate,12.0,Nova Scotia,1.0,Rural,3.0,All businesses,2018.0,1011.0,165.3,,6.8,73.4,132.5,11.2,121.3,32.8,,,,,,,,,,93.2,80.2
19135,531,Real estate,12.0,Nova Scotia,2.0,Urban,2.0,Incorporated,2018.0,1843.0,393.6,46.0,5.0,84.4,352.1,19.8,332.3,41.5,2638.4,367.9,2043.2,518.3,595.2,3.4,87.1,0.7,7.0,89.1,
19136,531,Real estate,12.0,Nova Scotia,2.0,Urban,3.0,All businesses,2018.0,3484.0,254.7,,4.3,81.8,219.4,10.9,208.5,35.3,,,,,,,,,,95.7,78.0
19138,531,Real estate,13.0,New Brunswick,1.0,Rural,2.0,Incorporated,2018.0,498.0,241.0,36.4,4.4,80.1,203.5,10.6,192.9,37.4,1386.8,199.9,941.2,245.9,445.7,2.1,55.2,0.5,8.4,87.9,
19139,531,Real estate,13.0,New Brunswick,1.0,Rural,3.0,All businesses,2018.0,772.0,186.9,,3.8,78.9,154.6,7.1,147.5,32.3,,,,,,,,,,96.2,74.7
19141,531,Real estate,13.0,New Brunswick,2.0,Urban,2.0,Incorporated,2018.0,1381.0,373.3,37.6,4.2,80.9,317.6,15.5,302.0,55.7,1958.7,289.5,1518.6,332.4,440.1,3.5,75.5,0.8,12.7,88.9,
19142,531,Real estate,13.0,New Brunswick,2.0,Urban,3.0,All businesses,2018.0,2313.0,262.9,,3.8,80.4,221.3,9.9,211.4,41.6,,,,,,,,,,96.2,74.7
19144,531,Real estate,24.0,Québec,1.0,Rural,2.0,Incorporated,2018.0,3603.0,256.5,45.4,8.0,69.7,199.5,20.6,178.9,57.0,1617.4,246.5,981.0,259.6,636.4,1.5,40.8,0.4,9.0,82.3,
19145,531,Real estate,24.0,Québec,1.0,Rural,3.0,All businesses,2018.0,7547.0,165.8,,6.4,70.3,127.2,10.6,116.6,38.6,,,,,,,,,,93.6,79.5
19147,531,Real estate,24.0,Québec,2.0,Urban,2.0,Incorporated,2018.0,22921.0,364.6,39.8,6.2,74.2,293.1,22.6,270.5,71.4,2568.3,456.0,1774.6,460.0,793.7,2.2,58.0,0.5,9.0,84.4,
19148,531,Real estate,24.0,Québec,2.0,Urban,3.0,All businesses,2018.0,63742.0,192.4,,4.6,73.7,150.6,8.9,141.7,41.8,,,,,,,,,,95.4,81.6
19150,531,Real estate,35.0,Ontario,1.0,Rural,2.0,Incorporated,2018.0,3038.0,284.7,42.1,8.1,73.3,231.7,23.1,208.6,53.0,1614.4,384.9,1076.7,305.3,537.7,2.0,56.8,0.5,9.9,80.7,
19151,531,Real estate,35.0,Ontario,1.0,Rural,3.0,All businesses,2018.0,8259.0,160.1,,6.2,66.7,116.6,9.9,106.7,43.5,,,,,,,,,,93.8,83.9
19153,531,Real estate,35.0,Ontario,2.0,Urban,2.0,Incorporated,2018.0,39246.0,381.8,34.6,5.7,77.3,316.8,21.6,295.3,65.0,2560.5,674.1,1911.0,608.8,649.5,2.9,93.7,0.6,10.0,83.7,
19154,531,Real estate,35.0,Ontario,2.0,Urban,3.0,All businesses,2018.0,110292.0,199.8,,4.6,72.5,154.1,9.3,144.9,45.7,,,,,,,,,,95.4,82.0
19156,531,Real estate,49.0,Prairies,1.0,Rural,2.0,Incorporated,2018.0,4560.0,270.0,50.3,5.6,74.4,215.9,15.0,200.8,54.1,1722.6,378.0,969.4,317.6,753.2,1.3,42.2,0.4,7.2,88.9,
19157,531,Real estate,49.0,Prairies,1.0,Rural,3.0,All businesses,2018.0,11153.0,149.8,,4.3,65.7,104.8,6.5,98.3,44.9,,,,,,,,,,95.7,85.3
19159,531,Real estate,49.0,Prairies,2.0,Urban,2.0,Incorporated,2018.0,20058.0,369.5,43.8,6.8,73.4,296.2,25.0,271.2,73.3,2614.7,523.7,1855.6,546.9,759.2,2.4,72.0,0.5,9.7,84.6,
19160,531,Real estate,49.0,Prairies,2.0,Urban,3.0,All businesses,2018.0,36107.0,248.9,,5.9,72.6,195.3,14.7,180.6,53.5,,,,,,,,,,94.1,78.7
19162,531,Real estate,46.0,Manitoba,1.0,Rural,2.0,Incorporated,2018.0,623.0,260.8,38.7,4.1,75.8,208.5,10.7,197.8,52.4,1385.0,287.0,764.8,155.0,620.2,1.2,25.0,0.4,8.4,89.4,
19163,531,Real estate,46.0,Manitoba,1.0,Rural,3.0,All businesses,2018.0,1990.0,127.0,,3.0,64.3,85.5,3.8,81.7,41.5,,,,,,,,,,97.0,87.3
19165,531,Real estate,46.0,Manitoba,2.0,Urban,2.0,Incorporated,2018.0,2513.0,407.6,37.3,7.3,77.6,345.7,29.6,316.1,61.9,2430.7,466.7,1791.4,442.2,639.3,2.8,69.2,0.6,9.7,80.5,
19166,531,Real estate,46.0,Manitoba,2.0,Urban,3.0,All businesses,2018.0,5215.0,267.5,,5.8,74.9,215.8,15.4,200.4,51.7,,,,,,,,,,94.2,79.8
19168,531,Real estate,47.0,Saskatchewan,1.0,Rural,2.0,Incorporated,2018.0,1052.0,227.1,52.8,2.3,78.7,184.0,5.3,178.8,43.0,1449.6,410.6,562.2,144.5,887.4,0.6,16.3,0.3,4.9,95.6,
19169,531,Real estate,47.0,Saskatchewan,1.0,Rural,3.0,All businesses,2018.0,3291.0,114.7,,1.8,60.4,71.3,2.0,69.3,43.4,,,,,,,,,,98.2,88.3
19171,531,Real estate,47.0,Saskatchewan,2.0,Urban,2.0,Incorporated,2018.0,2676.0,371.2,35.1,5.5,73.0,291.4,20.5,270.9,79.8,2443.6,447.8,1662.9,416.1,780.6,2.1,53.3,0.5,10.2,84.3,
19172,531,Real estate,47.0,Saskatchewan,2.0,Urban,3.0,All businesses,2018.0,5142.0,236.8,,4.9,71.3,180.3,11.5,168.8,56.5,,,,,,,,,,95.1,81.1
19174,531,Real estate,48.0,Alberta,1.0,Rural,2.0,Incorporated,2018.0,2885.0,287.6,51.9,6.8,72.8,229.1,19.5,209.5,58.6,1895.1,385.7,1162.0,415.9,733.0,1.6,56.7,0.4,8.0,86.9,
19175,531,Real estate,48.0,Alberta,1.0,Rural,3.0,All businesses,2018.0,5872.0,177.1,,5.6,67.9,130.1,10.0,120.2,47.0,,,,,,,,,,94.4,83.0
19177,531,Real estate,48.0,Alberta,2.0,Urban,2.0,Incorporated,2018.0,14869.0,362.7,46.7,6.9,72.7,288.7,25.0,263.7,74.1,2676.7,547.0,1901.1,588.1,775.6,2.5,75.8,0.5,9.5,85.3,
19178,531,Real estate,48.0,Alberta,2.0,Urban,3.0,All businesses,2018.0,25750.0,247.5,,6.2,72.3,194.2,15.3,178.9,53.3,,,,,,,,,,93.8,77.9
19180,531,Real estate,59.0,British Columbia,1.0,Rural,2.0,Incorporated,2018.0,1676.0,279.2,55.5,13.3,65.2,219.3,37.3,182.0,59.9,1378.0,329.5,951.8,289.0,426.1,2.2,67.8,0.7,14.1,75.9,
19181,531,Real estate,59.0,British Columbia,1.0,Rural,3.0,All businesses,2018.0,4365.0,156.1,,9.9,62.9,113.7,15.5,98.2,42.3,,,,,,,,,,90.1,82.9
19183,531,Real estate,59.0,British Columbia,2.0,Urban,2.0,Incorporated,2018.0,20575.0,396.4,41.6,5.5,69.0,295.5,22.0,273.5,100.9,2879.9,691.5,2092.2,552.4,787.6,2.7,70.1,0.5,12.8,86.7,
19184,531,Real estate,59.0,British Columbia,2.0,Urban,3.0,All businesses,2018.0,52539.0,206.8,,4.8,67.1,148.7,9.9,138.8,58.1,,,,,,,,,,95.2,83.3
19186,531,Real estate,63.0,Territories,1.0,Rural,2.0,Incorporated,2018.0,76.0,549.7,48.8,4.3,89.6,516.2,23.8,492.4,33.6,2764.3,568.2,2135.3,512.9,629.0,3.4,81.5,0.9,5.3,91.1,
19187,531,Real estate,63.0,Territories,1.0,Rural,3.0,All businesses,2018.0,160.0,294.1,,4.0,86.6,266.3,11.7,254.6,27.8,,,,,,,,,,96.0,81.3
19189,531,Real estate,63.0,Territories,2.0,Urban,2.0,Incorporated,2018.0,213.0,456.4,36.4,3.6,74.6,356.6,16.2,340.3,99.8,2198.4,338.5,1493.0,494.5,705.3,2.1,70.1,0.6,14.2,90.2,
19190,531,Real estate,63.0,Territories,2.0,Urban,3.0,All businesses,2018.0,409.0,275.5,,3.3,73.3,211.0,9.1,201.9,64.5,,,,,,,,,,96.7,84.6
19192,531,Real estate,60.0,Yukon,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19193,531,Real estate,60.0,Yukon,1.0,Rural,3.0,All businesses,2018.0,,,,,,,,,,,,,,,,,,,,95.5
19195,531,Real estate,60.0,Yukon,2.0,Urban,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19196,531,Real estate,60.0,Yukon,2.0,Urban,3.0,All businesses,2018.0,263.0,230.1,,5.5,67.8,168.8,12.7,156.1,61.4,,,,,,,,,,94.5,87.1
19198,531,Real estate,61.0,Nordwest Territories,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19199,531,Real estate,61.0,Nordwest Territories,1.0,Rural,3.0,All businesses,2018.0,,,,,,,,,,,,,,,,,,,,76.9
19201,531,Real estate,61.0,Nordwest Territories,2.0,Urban,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19202,531,Real estate,61.0,Nordwest Territories,2.0,Urban,3.0,All businesses,2018.0,141.0,368.6,,0.8,79.7,296.5,2.8,293.7,72.1,,,,,,,,,,99.2,79.4
19204,531,Real estate,62.0,Nunavut,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19205,531,Real estate,62.0,Nunavut,1.0,Rural,3.0,All businesses,2018.0,,,,,,,,,,,,,,,,,,,,80.8
19207,532,Rental and leasing services,0.0,Canada,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19208,532,Rental and leasing services,0.0,Canada,1.0,Rural,3.0,All businesses,2018.0,1936.0,439.7,,18.1,65.6,368.2,79.7,288.5,71.6,,,,,,,,,,81.9,72.1
19210,532,Rental and leasing services,0.0,Canada,2.0,Urban,2.0,Incorporated,2018.0,6268.0,636.3,81.4,24.9,63.7,563.7,158.5,405.2,72.6,1742.1,515.8,1063.0,445.5,679.1,1.6,65.6,0.9,10.7,69.4,
19211,532,Rental and leasing services,0.0,Canada,2.0,Urban,3.0,All businesses,2018.0,7175.0,570.2,,24.9,63.4,503.1,141.8,361.3,67.1,,,,,,,,,,75.1,72.0
19213,532,Rental and leasing services,15.0,Altantic,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19214,532,Rental and leasing services,15.0,Altantic,1.0,Rural,3.0,All businesses,2018.0,,,,,,,,,,,,,,,,,,,,59.3
19216,532,Rental and leasing services,15.0,Altantic,2.0,Urban,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19217,532,Rental and leasing services,15.0,Altantic,2.0,Urban,3.0,All businesses,2018.0,,,,,,,,,,,,,,,,,,,,71.2
19219,532,Rental and leasing services,10.0,Newfoundland and Labrador,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19220,532,Rental and leasing services,10.0,Newfoundland and Labrador,1.0,Rural,3.0,All businesses,2018.0,,,,,,,,,,,,,,,,,,,,62.9
19222,532,Rental and leasing services,10.0,Newfoundland and Labrador,2.0,Urban,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19223,532,Rental and leasing services,10.0,Newfoundland and Labrador,2.0,Urban,3.0,All businesses,2018.0,,,,,,,,,,,,,,,,,,,,60.0
19225,532,Rental and leasing services,11.0,Prince Edward Island,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19226,532,Rental and leasing services,11.0,Prince Edward Island,1.0,Rural,3.0,All businesses,2018.0,7.0,295.5,,31.2,60.8,271.8,92.1,179.6,23.7,,,,,,,,,,68.8,
19228,532,Rental and leasing services,11.0,Prince Edward Island,2.0,Urban,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19229,532,Rental and leasing services,11.0,Prince Edward Island,2.0,Urban,3.0,All businesses,2018.0,,,,,,,,,,,,,,,,,,,,75.0
19231,532,Rental and leasing services,12.0,Nova Scotia,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19232,532,Rental and leasing services,12.0,Nova Scotia,1.0,Rural,3.0,All businesses,2018.0,,,,,,,,,,,,,,,,,,,,53.3
19234,532,Rental and leasing services,12.0,Nova Scotia,2.0,Urban,2.0,Incorporated,2018.0,72.0,692.2,87.5,17.3,71.1,611.8,119.9,491.9,80.4,2551.1,573.1,1507.0,443.5,1044.2,1.4,42.5,0.7,7.7,80.2,
19235,532,Rental and leasing services,12.0,Nova Scotia,2.0,Urban,3.0,All businesses,2018.0,87.0,585.4,,17.2,70.7,514.5,100.8,413.7,70.9,,,,,,,,,,82.8,75.9
19237,532,Rental and leasing services,13.0,New Brunswick,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
19238,532,Rental and leasing services,13.0,New Brunswick,1.0,Rural,3.0,All businesses,2018.0,,,,,,,,,,,,,,,,,,,,58.3
19240,532,Rental and leasing services,13.0,New Brunswick,2.0,Urban,2.0,Incorporated,2018.0,47.0,738.2,76.1,27.1,62.5,661.6,200.1,461.5,76.6,5240.2,481.5,1370.1,203.1,3870.1,0.4,5.2,0.2,2.0,64.4,
19241,532,Rental and leasing services,13.0,New Brunswick,2.0,Urban,3.0,All businesses,2018.0,59.0,619.5,,26.2,62.8,551.6,162.4,389.2,67.9,,,,,,,,,,73.8,74.6
19243,532,Rental and leasing services,24.0,Québec,1.0,Rural,2.0,Incorporated,2018.0,,,,,,,,,,,,,,,,,,,,
