ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services,"Sales of goods and services, quality indicator","Sales of goods and services, first quartile","Sales of goods and services, second quartile","Sales of goods and services, third quartile","Sales of goods and services, fourth quartile","Sales of goods and services, percent of businesses reporting",All other revenues,"All other revenues,  quality indicator","All other revenues,  first quartile","All other revenues,  second quartile","All other revenues,  third quartile","All other revenues,  fourth quartile","All other revenues,  percent of businesses reporting",Sales of goods and services ( percent of total revenue),"Sales of goods and services ( percent of total revenue), quality indicator","Sales of goods and services ( percent of total revenue), first quartile","Sales of goods and services ( percent of total revenue), second quartile","Sales of goods and services ( percent of total revenue), third quartile","Sales of goods and services ( percent of total revenue), fourth quartile",All other revenues ( percent of total revenue),"All other revenues ( percent of total revenue), quality indicator","All other revenues ( percent of total revenue), first quartile","All other revenues ( percent of total revenue), second quartile","All other revenues ( percent of total revenue), third quartile","All other revenues ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,213,"Support activities for mining, and oil and gas extraction",0,Canada,1,Rural,2,Incorporated,2018,118,5000,20000,5000,6202,6202,7957,7957,11000,11000,20000,9190.2,A,5634,6913.1,9481.5,14732.1,9010.1,A,5569.4,6672,9460.2,14338.8,99.2,180.1,A,64.6,241.1,21.3,393.2,61,98,A,98.9,96.5,99.8,97.3,2,A,1.1,3.5,0.2,2.7
22,213,"Support activities for mining, and oil and gas extraction",0,Canada,2,Urban,2,Incorporated,2018,248,5000,20000,5000,6887,6887,9143,9143,13000,13000,20000,10194.2,A,5946,8031.4,10892.8,15906.5,9319.6,A,5059.4,7379.6,9717.8,15121.6,93.1,874.6,A,886.6,651.8,1175,784.9,63.3,91.4,A,85.1,91.9,89.2,95.1,8.6,A,14.9,8.1,10.8,4.9
23,22,Utilities,0,Canada,1,Rural,2,Incorporated,2018,35,5000,20000,5000,5907,5907,8487,8487,11000,11000,20000,9167.5,A,5570.3,7681.9,9371.5,14046.2,8285.1,B,4909.7,6768,7847.8,13614.8,94.3,882.4,B,660.6,914,1523.7,431.4,74.3,90.4,B,88.1,88.1,83.7,96.9,9.6,B,11.9,11.9,16.3,3.1
24,22,Utilities,0,Canada,2,Urban,2,Incorporated,2018,61,5000,20000,5000,6283,6283,8229,8229,13000,13000,20000,10197,A,5730.9,7305.8,10933.8,16817.5,8960.8,A,4525.3,6675.7,9738.2,14904,93.4,1236.2,A,1205.7,630.1,1195.7,1913.4,73.8,87.9,A,79,91.4,89.1,88.6,12.1,A,21,8.6,10.9,11.4
25,221,Utilities,0,Canada,1,Rural,2,Incorporated,2018,35,5000,20000,5000,5907,5907,8487,8487,11000,11000,20000,9167.5,A,5570.3,7681.9,9371.5,14046.2,8285.1,B,4909.7,6768,7847.8,13614.8,94.3,882.4,B,660.6,914,1523.7,431.4,74.3,90.4,B,88.1,88.1,83.7,96.9,9.6,B,11.9,11.9,16.3,3.1
26,221,Utilities,0,Canada,2,Urban,2,Incorporated,2018,61,5000,20000,5000,6283,6283,8229,8229,13000,13000,20000,10197,A,5730.9,7305.8,10933.8,16817.5,8960.8,A,4525.3,6675.7,9738.2,14904,93.4,1236.2,A,1205.7,630.1,1195.7,1913.4,73.8,87.9,A,79,91.4,89.1,88.6,12.1,A,21,8.6,10.9,11.4
27,23,Construction,0,Canada,1,Rural,2,Incorporated,2018,961,5000,20000,5000,5962,5962,7446,7446,11000,11000,20000,8837.8,A,5452.7,6699.7,8844.7,14354.3,8715.8,A,5346.3,6594.8,8753.2,14168.7,99.5,122.1,B,106.4,104.9,91.4,185.6,57.1,98.6,A,98,98.4,99,98.7,1.4,B,2,1.6,1,1.3
28,23,Construction,0,Canada,2,Urban,2,Incorporated,2018,7476,5000,20000,5000,6227,6227,8041,8041,12000,12000,20000,9296.2,A,5580.7,7083.7,9580.3,14940,9056.7,A,5425.5,6889.1,9384.2,14528.1,98.8,239.4,A,155.2,194.6,196.1,411.9,49.9,97.4,A,97.2,97.3,98,97.2,2.6,A,2.8,2.7,2,2.8
29,236,Construction of buildings,0,Canada,1,Rural,2,Incorporated,2018,322,5000,20000,5000,6016,6016,7294,7294,10000,10000,20000,8741.2,A,5474.4,6664.2,8659.5,14166.5,8546.8,A,5367.4,6485.7,8468.2,13866,99.1,194.4,B,107,178.6,191.4,300.5,58.4,97.8,A,98,97.3,97.8,97.9,2.2,B,2,2.7,2.2,2.1
30,236,Construction of buildings,0,Canada,2,Urban,2,Incorporated,2018,2718,5000,20000,5000,6248,6248,8133,8133,12000,12000,20000,9435.5,A,5600.1,7159.9,9757.3,15224.9,9199.5,A,5435.3,6987.9,9558.8,14815.9,98.7,236,A,164.8,172,198.5,409,52.8,97.5,A,97.1,97.6,98,97.3,2.5,A,2.9,2.4,2,2.7
