ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Percent of profitable businesses,Profitable : Total Revenue,"Profitable : Total Revenue, quality indicator","Profitable : Total Revenue, first quartile","Profitable : Total Revenue, second quartile","Profitable : Total Revenue, third quartile","Profitable : Total Revenue, fourth quartile",Profitable : Total Expenses,"Profitable : Total Expenses, quality indicator","Profitable : Total Expenses, first quartile","Profitable : Total Expenses, second quartile","Profitable : Total Expenses, third quartile","Profitable : Total Expenses, fourth quartile",Profitable : Net Profit,"Profitable : Net Profit, quality indicator","Profitable : Net Profit, first quartile","Profitable : Net Profit, second quartile","Profitable : Net Profit, third quartile","Profitable : Net Profit, fourth quartile",Non-profitable : Total Revenue,"Non-profitable : Total Revenue, quality indicator","Non-profitable : Total Revenue, first quartile","Non-profitable : Total Revenue, second quartile","Non-profitable : Total Revenue, third quartile","Non-profitable : Total Revenue, fourth quartile",Non-profitable : Total expenses,"Non-profitable : Total expenses, quality indicator","Non-profitable : Total expenses, first quartile","Non-profitable : Total expenses, second quartile","Non-profitable : Total expenses, third quartile","Non-profitable : Total expenses, fourth quartile",Non-profitable : Net loss,"Non-profitable : Net loss, quality indicator","Non-profitable : Net loss, first quartile","Non-profitable : Net loss, second quartile","Non-profitable : Net loss, third quartile","Non-profitable : Net loss, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,All industries,47,Saskatchewan,2,Urban,3,All businesses,2017,80.4,416,A,45.5,107.6,283.6,1339.8,307.5,A,22.1,57.7,178.8,1061.8,108.5,A,23.4,49.8,104.7,278.1,570.4,A,45.3,109.9,293,1364.1,690.3,A,76.4,152,356.2,1625.9,-119.9,B,-31.1,-42.1,-63.2,-261.7
23,0,All industries,48,Alberta,1,Rural,3,All businesses,2017,71.9,416.2,A,51.1,126.7,284.2,1345.2,321.5,A,27,80.4,198.1,1099.6,94.7,A,24.1,46.3,86.1,245.7,559.6,A,51.8,125.4,291.3,1392.4,695.1,A,83.2,167.8,359.1,1710.5,-135.5,A,-31.4,-42.3,-67.8,-318
24,0,All industries,48,Alberta,2,Urban,3,All businesses,2017,78.4,388.3,A,45.7,103.9,242.3,1214.4,284.5,A,23.8,58.7,151.1,946.8,103.8,A,22,45.3,91.2,267.6,465.7,A,46,103.7,245.1,1266.4,589.6,A,86.8,148.6,372.2,1515.9,-123.9,B,-40.8,-44.9,-127,-249.5
25,0,All industries,59,British Columbia,1,Rural,3,All businesses,2017,82.4,374.3,A,44,94.6,225.8,1157.8,293.9,A,23.1,55.2,155.1,963.6,80.3,A,20.9,39.4,70.7,194.2,391.6,A,43.5,95.1,226,1091.9,459.3,A,69.4,126.5,272.9,1244.9,-67.7,B,-25.9,-31.5,-46.9,-153
26,0,All industries,59,British Columbia,2,Urban,3,All businesses,2017,83.4,391.5,A,43.3,93.8,233.3,1225,292,A,21.4,50.5,151.1,968.7,99.5,A,21.9,43.3,82.3,256.3,429.9,A,43.1,95.1,234.8,1201.2,557.5,A,99.9,156.7,324.3,1476,-127.5,B,-56.8,-61.6,-89.5,-274.7
27,0,All industries,63,Territories,1,Rural,3,All businesses,2017,76.9,605.8,B,50.3,132.4,416.3,1970.8,496,B,26.9,78.1,308,1698.2,109.8,B,23.4,54.3,108.3,272.6,740.5,A,52.1,144.6,411.3,1889.2,1016.5,A,72.2,177.4,1021.4,2175.8,-276,A,-20.1,-32.8,-610.1,-286.6
28,0,All industries,63,Territories,2,Urban,3,All businesses,2017,82.9,466.5,A,44,107.5,298.8,1442.1,363.1,A,21.8,55.6,201.3,1195.3,103.4,A,22.3,51.9,97.4,246.8,502.8,A,46.7,108.2,300.1,1429.1,568,A,74.9,146.7,360.1,1553,-65.1,B,-28.3,-38.6,-59.9,-123.8
29,0,All industries,60,Yukon,1,Rural,3,All businesses,2017,79.4,509.3,A,47,111.6,281.8,1659.5,418,B,29.8,73.2,202.7,1420.6,91.3,A,17.2,38.4,79.1,238.9,569.5,A,50.7,105.1,279.1,1608.9,1222.2,A,66.1,126,361.9,3776.4,-652.7,A,-15.4,-20.9,-82.8,-2167.5
30,0,All industries,60,Yukon,2,Urban,3,All businesses,2017,83.3,427.2,A,43.5,101.7,278,1297,326.6,A,21.7,55.3,185.2,1053.5,100.5,A,21.8,46.4,92.9,243.5,442.8,A,46.6,104,269.6,1294.2,500.4,A,79.8,142.5,316,1402.5,-57.5,B,-33.2,-38.6,-46.4,-108.3
31,0,All industries,61,Nordwest Territories,1,Rural,3,All businesses,2017,74,597,B,54.7,151.4,450.3,1851.1,496.6,B,29.3,100.3,335.9,1624.2,100.5,B,25.3,51.1,114.4,226.9,753.2,B,54.8,163.2,460.1,1975.2,864.1,B,82.7,182.8,573.7,2208.5,-111,B,-27.9,-19.6,-113.6,-233.3
32,0,All industries,61,Nordwest Territories,2,Urban,3,All businesses,2017,82,549.4,A,46.1,121.4,351.6,1716.7,439.8,A,20.8,60.9,254.3,1455.1,109.6,A,25.2,60.5,97.3,261.7,612.2,A,48.1,126,385.3,1710,691.2,A,67.6,194.2,443.2,1866.9,-79,B,-19.4,-68.2,-57.8,-156.9
33,0,All industries,62,Nunavut,1,Rural,3,All businesses,2017,78,699.8,A,50.2,145.1,525.7,2342.3,563.8,B,21.3,77.4,398.4,1983.7,136.1,B,28.9,67.7,127.3,358.6,861.1,B,48.8,162.8,494.4,1957.8,1056.7,B,71.2,234.3,542.4,2434.8,-195.5,B,-22.5,-71.6,-48.1,-477
34,11,"Agriculture, forestry, fishing and hunting",0,Canada,1,Rural,3,All businesses,2017,55.2,456.3,B,61.5,203.2,533.8,1734.9,349,A,30,131.8,413,1405.6,107.3,B,31.5,71.4,120.8,329.3,879.4,B,64.5,215.3,564.2,1777.1,1148.7,A,106.7,298.9,741.2,2300.6,-269.3,A,-42.2,-83.6,-177,-523.5
35,11,"Agriculture, forestry, fishing and hunting",0,Canada,2,Urban,3,All businesses,2017,56.5,463.9,A,55.9,159.5,458.7,1785.9,351.9,A,28.7,97.6,342,1430,112.1,B,27.2,61.9,116.7,355.9,833.3,A,56.6,162.8,494.7,1815.6,1112.4,A,115.6,260.3,672.5,2373,-279.1,A,-59,-97.5,-177.8,-557.4
36,11,"Agriculture, forestry, fishing and hunting",15,Altantic,1,Rural,3,All businesses,2017,86.4,257.6,A,42,89.2,202.4,810.9,169.1,A,12.5,40.2,117.6,593.7,88.5,B,29.5,49,84.8,217.2,663.9,A,42.5,90.4,205.7,1194.3,839.1,A,63.8,131.2,267.2,1498.3,-175.2,A,-21.3,-40.8,-61.5,-304
37,11,"Agriculture, forestry, fishing and hunting",15,Altantic,2,Urban,3,All businesses,2017,79.6,295.4,A,46.9,112.3,215.6,1074.8,201.6,A,13.5,54.7,113.6,847.7,93.8,A,33.4,57.6,102,227.1,648.9,A,47.1,109.7,230,1117.6,848,A,75.2,182.3,403.8,1419.3,-199.2,A,-28.1,-72.6,-173.8,-301.7
38,11,"Agriculture, forestry, fishing and hunting",10,Newfoundland and Labrador,1,Rural,3,All businesses,2017,90.3,127.2,A,35.4,52.2,85,366.1,77.3,A,10.2,20.7,39.7,261.2,49.9,A,25.2,31.5,45.3,104.8,294.1,A,35.9,51.6,85.9,557.8,359.2,A,48.4,69.9,101.9,679,-65.1,A,-12.5,-18.3,-16,-121.2
39,11,"Agriculture, forestry, fishing and hunting",10,Newfoundland and Labrador,2,Urban,3,All businesses,2017,89.9,268.8,A,39.8,68.2,129.7,938,172.3,A,7.4,15.1,39.3,707.3,96.5,A,32.4,53.1,90.4,230.7,374.9,B,39,68.8,139.9,652.2,457.6,A,64.9,81.6,220,771.2,-82.7,B,-25.9,-12.8,-80.1,-119
40,11,"Agriculture, forestry, fishing and hunting",11,Prince Edward Island,1,Rural,3,All businesses,2017,84.2,252.6,A,58.6,147.4,232.9,797.9,156.7,A,21.8,85.2,130,556.8,95.9,A,36.8,62.1,102.9,241.1,1157.6,A,56.3,141.7,233.1,1548.3,1436.1,A,90.6,191.2,347.5,1912.9,-278.6,A,-34.3,-49.5,-114.5,-364.6
41,11,"Agriculture, forestry, fishing and hunting",11,Prince Edward Island,2,Urban,3,All businesses,2017,67.1,284.1,A,57.8,149.1,244,1154.6,173.2,A,27.4,85.9,136,759.5,110.8,B,30.4,63.2,107.9,395.1,783.6,A,58.3,146.8,281.9,1430.1,1069.2,B,115.1,326.1,520.6,1864.8,-285.6,B,-56.7,-179.2,-238.7,-434.6
42,11,"Agriculture, forestry, fishing and hunting",12,Nova Scotia,1,Rural,3,All businesses,2017,87.2,300,A,49.7,128.4,285.7,816.3,205.2,A,11.3,62,189.1,623.3,94.8,B,38.4,66.4,96.6,193.1,609.5,A,49.6,130.2,295.8,1151.6,803.6,A,75.8,217,420.3,1482.1,-194.1,B,-26.3,-86.8,-124.5,-330.5
43,11,"Agriculture, forestry, fishing and hunting",12,Nova Scotia,2,Urban,3,All businesses,2017,80.1,255.3,A,51.5,131,215.6,849.5,165.3,A,16.7,72.9,109.3,646.2,90,A,34.8,58.1,106.3,203.2,720.8,A,51.4,118.9,223.2,1167.9,950.9,A,79.3,188.9,455.2,1495.1,-230.1,A,-27.9,-70,-232,-327.2
44,11,"Agriculture, forestry, fishing and hunting",13,New Brunswick,1,Rural,3,All businesses,2017,80.9,404.5,A,56,134.1,281.5,1354.2,268.1,A,24.1,77.7,164.3,956.5,136.4,B,31.9,56.4,117.2,397.7,718.7,A,53.6,121.4,326.4,1434.1,897.1,A,80.9,154.5,417.7,1776.4,-178.4,B,-27.3,-33,-91.3,-342.3
45,11,"Agriculture, forestry, fishing and hunting",13,New Brunswick,2,Urban,3,All businesses,2017,72.7,442.7,A,53.4,136,317.8,1403.4,350.2,A,29.2,81.2,237.3,1174.2,92.5,B,24.2,54.7,80.4,229.2,563.9,A,52.1,131.1,358.9,1352.4,709.7,A,73.2,194.2,450.8,1683.5,-145.9,A,-21.1,-63.2,-91.9,-331.1
46,11,"Agriculture, forestry, fishing and hunting",24,Québec,1,Rural,3,All businesses,2017,50.6,472.7,A,71.4,228.3,518.4,1534.6,370.6,A,46.1,158.1,420.8,1239.4,102.1,B,25.3,70.3,97.6,295.3,725.2,A,74.8,249.5,535.6,1561.5,939.1,A,110.1,314.8,672.2,2039.6,-213.9,A,-35.4,-65.3,-136.6,-478.1
47,11,"Agriculture, forestry, fishing and hunting",24,Québec,2,Urban,3,All businesses,2017,50.8,492.2,A,56.8,178.9,494.3,1705.4,401,A,36.7,128.4,395.1,1439.7,91.2,B,20.2,50.5,99.2,265.6,741.8,A,58.4,192.4,511.4,1718.6,967.2,A,98.8,263.9,642.3,2242.9,-225.4,A,-40.5,-71.5,-130.9,-524.3
48,11,"Agriculture, forestry, fishing and hunting",35,Ontario,1,Rural,3,All businesses,2017,40,581.7,A,80.4,298.4,738.8,2001.9,468.6,A,54.4,228.1,611.2,1639.4,113.1,A,26,70.3,127.6,362.5,943,A,87.3,315.4,751.8,2074.5,1221.7,A,142.3,415.3,967.4,2673.4,-278.8,A,-55.1,-99.9,-215.6,-598.9
49,11,"Agriculture, forestry, fishing and hunting",35,Ontario,2,Urban,3,All businesses,2017,45.8,553,A,61.3,215.3,604.5,1937.3,430.4,A,37.2,154.1,493.7,1522.6,122.6,A,24.1,61.2,110.8,414.7,842.7,A,64.8,221.3,622.4,1947.3,1108.6,A,167.8,352.2,815.3,2473.8,-265.9,B,-103,-130.8,-192.9,-526.5
50,11,"Agriculture, forestry, fishing and hunting",49,Prairies,1,Rural,3,All businesses,2017,41.1,659.9,B,96.5,361,824.1,2063.7,529.7,A,59.2,266.9,660.8,1729.3,130.2,B,37.3,94.1,163.3,334.4,983.3,B,105.4,386.9,828.5,2113,1298,A,175,536.9,1100.4,2741.3,-314.7,A,-69.6,-150.1,-271.9,-628.3
51,11,"Agriculture, forestry, fishing and hunting",49,Prairies,2,Urban,3,All businesses,2017,48.9,526,B,68,230.2,636.5,1954.4,401.4,A,37.6,150.5,483.5,1574.6,124.6,B,30.4,79.7,153,379.8,966.4,B,68.6,242.4,667,2085.3,1319.6,A,122.3,363.9,921.3,2805.3,-353.2,A,-53.8,-121.5,-254.4,-720
52,11,"Agriculture, forestry, fishing and hunting",46,Manitoba,1,Rural,3,All businesses,2017,42.4,718.1,B,87.7,393,898.7,2304.6,597.6,B,57,298.3,746.4,1993.4,120.4,A,30.7,94.7,152.3,311.2,1062.6,A,103.5,433.5,921.7,2213.7,1343.5,A,164.5,573.2,1154.4,2771.6,-280.9,A,-61,-139.6,-232.7,-557.9
53,11,"Agriculture, forestry, fishing and hunting",46,Manitoba,2,Urban,3,All businesses,2017,41.9,641,B,76.6,278.8,781,2208.5,505,B,44.5,200.5,601.6,1816.3,136,B,32.1,78.3,179.4,392.2,986,B,67.9,311.4,809.5,2190.9,1324.6,A,137.4,634.5,1052.9,2794.5,-338.7,A,-69.5,-323.1,-243.4,-603.5
54,11,"Agriculture, forestry, fishing and hunting",47,Saskatchewan,1,Rural,3,All businesses,2017,38.3,665.6,B,113,396.8,838.7,1961.4,527.5,A,68.4,297.5,673.4,1610.5,138.1,B,44.6,99.3,165.4,350.9,966.7,B,122.9,421.3,843.7,2061.5,1289.4,A,203,592.4,1145.3,2681.1,-322.7,B,-80,-171.2,-301.7,-619.6
55,11,"Agriculture, forestry, fishing and hunting",47,Saskatchewan,2,Urban,3,All businesses,2017,45.4,500.8,B,82.4,277.5,694.5,1728.3,375.8,A,44.7,179.4,529.1,1384.4,125,B,37.7,98.1,165.4,343.9,962.9,B,87.3,320.3,706.3,2004.1,1316.7,A,137.6,463.8,952.2,2728.4,-353.8,A,-50.3,-143.4,-245.8,-724.3
56,11,"Agriculture, forestry, fishing and hunting",48,Alberta,1,Rural,3,All businesses,2017,43.5,629,B,87.7,314.6,760,2022.5,502.2,A,53.8,228.7,600.2,1690.8,126.8,B,33.9,85.9,159.7,331.8,966.8,B,90.9,327,771.9,2135.2,1287.6,A,155.6,452.6,1025,2813,-320.8,A,-64.7,-125.7,-253.1,-677.9
57,11,"Agriculture, forestry, fishing and hunting",48,Alberta,2,Urban,3,All businesses,2017,53.1,512.7,B,60.6,187.5,557.4,2004.9,390.9,A,33,120.9,414.5,1615.4,121.8,B,27.6,66.7,142.8,389.6,961.8,A,63.8,193.6,592.6,2096.8,1319.9,A,120.4,292.3,807.1,2850.9,-358,A,-56.5,-98.7,-214.5,-754.1
58,11,"Agriculture, forestry, fishing and hunting",59,British Columbia,1,Rural,3,All businesses,2017,70.7,470.8,A,53.6,124.7,312,1556.2,351.2,A,27.5,77.6,228.6,1198.5,119.6,A,26.1,47.1,83.4,357.7,598.7,A,53.1,124.1,310.4,1522.9,747.9,A,89.9,177.5,412.3,1851.9,-149.2,A,-36.9,-53.4,-101.9,-329
59,11,"Agriculture, forestry, fishing and hunting",59,British Columbia,2,Urban,3,All businesses,2017,67,441.6,A,50.2,116.5,324.7,1662.5,324.4,A,23.8,65.5,226.4,1286.9,117.2,A,26.3,51,98.3,375.6,780.4,A,50.4,117.1,342,1771.8,1056.1,A,95.5,194.5,495.3,2344.5,-275.7,B,-45.1,-77.4,-153.3,-572.7
60,11,"Agriculture, forestry, fishing and hunting",63,Territories,1,Rural,3,All businesses,2017,88,159,B,38.8,64,102.7,481,85.6,C,9.4,11.8,17.9,348,73.4,B,29.4,52.2,84.7,133,X,C,X,X,X,X,X,E,X,X,X,X,X,E,X,X,X,X
61,11,"Agriculture, forestry, fishing and hunting",63,Territories,2,Urban,3,All businesses,2017,68,175.4,A,37,73.4,162.2,549.5,128.3,A,24.5,48.8,115.5,416.7,47.1,A,12.5,24.6,46.7,132.8,641.9,B,X,X,X,X,693.1,A,X,X,X,X,-51.2,B,X,X,X,X
62,11,"Agriculture, forestry, fishing and hunting",60,Yukon,1,Rural,3,All businesses,2017,X,X,A,X,X,X,X,X,E,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X
63,11,"Agriculture, forestry, fishing and hunting",60,Yukon,2,Urban,3,All businesses,2017,71.4,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,B,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X
64,11,"Agriculture, forestry, fishing and hunting",61,Nordwest Territories,1,Rural,3,All businesses,2017,71.4,X,C,X,X,X,X,X,B,X,X,X,X,X,C,X,X,X,X,X,E,X,X,X,X,X,E,X,X,X,X,X,E,X,X,X,X
65,11,"Agriculture, forestry, fishing and hunting",61,Nordwest Territories,2,Urban,3,All businesses,2017,X,X,B,X,X,X,X,X,B,X,X,X,X,X,B,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,B,X,X,X,X
