ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services,"Sales of goods and services, quality indicator","Sales of goods and services, first quartile","Sales of goods and services, second quartile","Sales of goods and services, third quartile","Sales of goods and services, fourth quartile","Sales of goods and services, percent of businesses reporting",All other revenues,"All other revenues,  quality indicator","All other revenues,  first quartile","All other revenues,  second quartile","All other revenues,  third quartile","All other revenues,  fourth quartile","All other revenues,  percent of businesses reporting",Sales of goods and services ( percent of total revenue),"Sales of goods and services ( percent of total revenue), quality indicator","Sales of goods and services ( percent of total revenue), first quartile","Sales of goods and services ( percent of total revenue), second quartile","Sales of goods and services ( percent of total revenue), third quartile","Sales of goods and services ( percent of total revenue), fourth quartile",All other revenues ( percent of total revenue),"All other revenues ( percent of total revenue), quality indicator","All other revenues ( percent of total revenue), first quartile","All other revenues ( percent of total revenue), second quartile","All other revenues ( percent of total revenue), third quartile","All other revenues ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,221,Utilities,0,Canada,1,Rural,2,Incorporated,2017,34,5000,20000,5000,5603,5603,7621,7621,11000,11000,20000,8889.3,A,5371.9,6769.2,9267.1,14149,8132,A,4361.4,6344.1,8090.4,13732,94.1,757.3,B,1010.5,425.1,1176.7,417,79.4,91.5,A,81.2,93.7,87.3,97.1,8.5,B,18.8,6.3,12.7,2.9
26,221,Utilities,0,Canada,2,Urban,2,Incorporated,2017,70,5000,20000,5000,6170,6170,8673,8673,14000,14000,20000,9957.1,A,5664.7,7279.5,10723.2,16161.1,9006.6,A,4939.1,6750.3,9744.9,14592.1,95.7,950.5,A,725.6,529.2,978.4,1568.9,71.4,90.5,A,87.2,92.7,90.9,90.3,9.5,A,12.8,7.3,9.1,9.7
27,23,Construction,0,Canada,1,Rural,2,Incorporated,2017,851,5000,20000,5000,6100,6100,7708,7708,11000,11000,20000,8883.3,A,5516.1,6801.9,8980.5,14234.5,8756.9,A,5487.8,6629.7,8853.5,14056.7,99.5,126.3,A,28.3,172.2,127,177.8,56.8,98.6,A,99.5,97.5,98.6,98.8,1.4,A,0.5,2.5,1.4,1.2
28,23,Construction,0,Canada,2,Urban,2,Incorporated,2017,7000,5000,20000,5000,6173,6173,7951,7951,11000,11000,20000,9239.5,A,5553.5,6981.7,9480.5,14942.4,9001.2,A,5390.6,6783.6,9241.5,14589.3,98.6,238.3,A,162.9,198.2,239,353.1,51.3,97.4,A,97.1,97.2,97.5,97.6,2.6,A,2.9,2.8,2.5,2.4
29,236,Construction of buildings,0,Canada,1,Rural,2,Incorporated,2017,271,5000,20000,5000,5907,5907,7535,7535,9810,9810,20000,8531.1,A,5455.9,6618.1,8597.2,13453,8331.3,A,5423.3,6394.2,8404.5,13103.3,99.3,199.8,A,32.7,223.9,192.7,349.8,55.7,97.7,A,99.4,96.6,97.8,97.4,2.3,A,0.6,3.4,2.2,2.6
30,236,Construction of buildings,0,Canada,2,Urban,2,Incorporated,2017,2640,5000,20000,5000,6231,6231,8079,8079,12000,12000,20000,9371,A,5566.7,7058.7,9655.5,15203.2,9121.5,A,5355.4,6770.1,9481.8,14878.7,98.5,249.5,A,211.3,288.6,173.7,324.5,54.5,97.3,A,96.2,95.9,98.2,97.9,2.7,A,3.8,4.1,1.8,2.1
31,237,Heavy and civil engineering construction,0,Canada,1,Rural,2,Incorporated,2017,221,5000,20000,5000,6319,6319,8309,8309,12000,12000,20000,9718.3,A,5692.1,7273.7,10288.7,15618.8,9615.9,A,5656.7,7247.4,10119.3,15440.3,100,102.4,A,35.4,26.3,169.5,178.5,57.9,98.9,A,99.4,99.6,98.4,98.9,1.1,A,0.6,0.4,1.6,1.1
32,237,Heavy and civil engineering construction,0,Canada,2,Urban,2,Incorporated,2017,1035,5000,20000,5000,6408,6408,8305,8305,12000,12000,20000,9561.2,A,5696.8,7284.2,9891.1,15372.7,8830.7,A,5180.1,6881.5,8864.2,14397,95.5,730.5,A,516.8,402.7,1026.8,975.7,59.1,92.4,A,90.9,94.5,89.6,93.7,7.6,A,9.1,5.5,10.4,6.3
33,238,Specialty trade contractors,0,Canada,1,Rural,2,Incorporated,2017,359,5000,20000,5000,6103,6103,7337,7337,10000,10000,20000,8635.1,A,5479.3,6692.5,8668,13700.8,8549.5,A,5453.9,6563.4,8526.4,13654.2,99.4,85.6,A,25.3,129.1,141.7,46.5,56.8,99,A,99.5,98.1,98.4,99.7,1,A,0.5,1.9,1.6,0.3
34,238,Specialty trade contractors,0,Canada,2,Urban,2,Incorporated,2017,3325,5000,20000,5000,6080,6080,7746,7746,11000,11000,20000,9035,A,5508,6836.9,9209.8,14585.4,8958.9,A,5448.1,6808.8,9131,14447.5,99.7,76.2,A,59.9,28.1,78.8,137.9,46.3,99.2,A,98.9,99.6,99.1,99.1,0.8,A,1.1,0.4,0.9,0.9
35,31-33,Manufacturing,0,Canada,1,Rural,2,Incorporated,2017,809,5000,20000,5000,6446,6446,8861,8861,12000,12000,20000,9757.6,A,5697.3,7570.9,10479.6,15282.6,9587.7,A,5594.6,7434.5,10379,14942.8,99.5,169.9,A,102.7,136.4,100.6,339.8,67,98.3,A,98.2,98.2,99,97.8,1.7,A,1.8,1.8,1,2.2
36,31-33,Manufacturing,0,Canada,2,Urban,2,Incorporated,2017,4683,5000,20000,5000,6512,6512,8746,8746,13000,13000,20000,9837.4,A,5710.9,7528.3,10404.7,15705.8,9701.6,A,5629.9,7423.4,10261.2,15491.8,99.7,135.8,A,81,105,143.4,214,54.4,98.6,A,98.6,98.6,98.6,98.6,1.4,A,1.4,1.4,1.4,1.4
37,311,Food manufacturing,0,Canada,1,Rural,2,Incorporated,2017,140,5000,20000,5000,7183,7183,10000,10000,13000,13000,20000,10467.4,A,6169.6,8552.1,11416.9,15730.8,10176.4,A,5961.4,8471.6,11198.8,15073.9,98.6,290.9,B,208.2,80.5,218,656.9,63.6,97.2,A,96.6,99.1,98.1,95.8,2.8,B,3.4,0.9,1.9,4.2
38,311,Food manufacturing,0,Canada,2,Urban,2,Incorporated,2017,401,5000,20000,5000,6449,6449,8400,8400,12000,12000,20000,9835.4,A,5645.3,7358.8,10264.8,16072.8,9669.4,A,5547.9,7232.5,10172.5,15724.6,99.5,166.1,A,97.4,126.3,92.3,348.2,51.1,98.3,A,98.3,98.3,99.1,97.8,1.7,A,1.7,1.7,0.9,2.2
39,312,Beverage and tobacco product manufacturing,0,Canada,1,Rural,2,Incorporated,2017,10,5000,20000,5000,X,X,9359,9359,X,X,20000,9476.2,A,X,X,X,X,8955.8,B,X,X,X,X,100,520.4,A,X,X,X,X,70,94.5,B,X,X,X,X,5.5,A,X,X,X,X
40,312,Beverage and tobacco product manufacturing,0,Canada,2,Urban,2,Incorporated,2017,53,5000,20000,5000,6254,6254,7476,7476,12000,12000,20000,9451.3,A,5605.1,6934.8,9932.7,15332.5,9077.1,A,5582.4,6589.3,9432.7,14704.1,100,374.1,A,22.7,345.5,500,628.3,52.8,96,A,99.6,95,95,95.9,4,A,0.4,5,5,4.1
41,313,Textile mills,0,Canada,1,Rural,2,Incorporated,2017,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,100,X,A,X,X,X,X,77.8,X,A,X,X,X,X,X,A,X,X,X,X
42,313,Textile mills,0,Canada,2,Urban,2,Incorporated,2017,23,5000,20000,5000,6424,6424,8787,8787,11000,11000,20000,9688.5,A,6038.7,7851.9,10273.4,14590,9629.6,A,5965.1,7823.7,10243.4,14486.1,100,58.9,A,73.6,28.2,30,103.9,60.9,99.4,A,98.8,99.6,99.7,99.3,0.6,A,1.2,0.4,0.3,0.7
