ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services*,"Sales of goods and services* , quality indicator","Sales of goods and services* , first quartile","Sales of goods and services* , second quartile","Sales of goods and services* , third quartile","Sales of goods and services* , fourth quartile","Sales of goods and services*  , percent of businesses reporting",All other revenues*,"All other revenues* , quality indicator","All other revenues* , first quartile","All other revenues* , second quartile","All other revenues* , third quartile","All other revenues* , fourth quartile","All other revenues* , percent of businesses reporting",Sales of goods and services* ( percent of total revenue),"Sales of goods and services* ( percent of total revenue), quality indicator","Sales of goods and services* ( percent of total revenue), first quartile","Sales of goods and services* ( percent of total revenue), second quartile","Sales of goods and services* ( percent of total revenue), third quartile","Sales of goods and services* ( percent of total revenue), fourth quartile",All other revenues* ( percent of total revenue),"All other revenues* ( percent of total revenue), quality indicator","All other revenues* ( percent of total revenue), first quartile","All other revenues* ( percent of total revenue), second quartile","All other revenues* ( percent of total revenue), third quartile","All other revenues* ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,All industries,11,Prince Edward Island,2,Urban,3,All businesses,2017,3902,30,5000,30,67,67,166,166,452,452,5000,436.7,A,45.7,109.8,281.9,1309.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
25,0,All industries,12,Nova Scotia,1,Rural,1,Unincorporated,2017,6119,30,5000,30,46,46,81,81,166,166,5000,140.2,A,37.5,61.4,117.3,344.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
26,0,All industries,12,Nova Scotia,1,Rural,2,Incorporated,2017,7507,30,5000,30,142,142,325,325,664,664,5000,596.6,A,79.9,228.3,466.3,1611.7,560.6,B,61.8,203.4,439.4,1537.8,92.3,35.9,B,18.1,24.9,26.9,73.8,44.2,94,B,77.4,89.1,94.2,95.4,6,B,22.6,10.9,5.8,4.6
27,0,All industries,12,Nova Scotia,1,Rural,3,All businesses,2017,13626,30,5000,30,68,68,169,169,409,409,5000,391.6,A,45.9,111.2,270.3,1139,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
28,0,All industries,12,Nova Scotia,2,Urban,1,Unincorporated,2017,8684,30,5000,30,43,43,68,68,134,134,5000,120.1,A,35.8,53.6,95.2,295.6,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
29,0,All industries,12,Nova Scotia,2,Urban,2,Incorporated,2017,15410,30,5000,30,127,127,291,291,680,680,5000,599.8,A,74.5,199.7,449.1,1675.7,536.5,A,57.1,164.7,395.1,1529.1,87.4,63.3,B,17.4,35,54,146.6,41.4,89.5,A,76.6,82.5,88,91.3,10.5,B,23.4,17.5,12,8.7
30,0,All industries,12,Nova Scotia,2,Urban,3,All businesses,2017,24094,30,5000,30,67,67,164,164,436,436,5000,426.9,A,45.5,109.7,270.9,1281.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
31,0,All industries,13,New Brunswick,1,Rural,1,Unincorporated,2017,4343,30,5000,30,50,50,95,95,176,176,5000,145.7,A,38.5,69.3,130.9,343.9,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
32,0,All industries,13,New Brunswick,1,Rural,2,Incorporated,2017,6820,30,5000,30,130,130,311,311,752,752,5000,658.1,A,72.8,213.2,481.6,1864.8,618.4,A,56.1,186.3,443.7,1787.3,91.7,39.7,B,16.7,26.9,37.9,77.5,45.2,94,A,77,87.4,92.1,95.8,6,B,23,12.6,7.9,4.2
33,0,All industries,13,New Brunswick,1,Rural,3,All businesses,2017,11163,30,5000,30,77,77,182,182,441,441,5000,458.7,A,49,123,284.5,1378.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
34,0,All industries,13,New Brunswick,2,Urban,1,Unincorporated,2017,5582,30,5000,30,44,44,71,71,136,136,5000,119.9,A,36.2,55.5,98.9,289.1,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
35,0,All industries,13,New Brunswick,2,Urban,2,Incorporated,2017,11772,30,5000,30,124,124,298,298,697,697,5000,613.1,A,73.2,203,467,1708.9,549.3,A,54.1,168.6,414.5,1560.1,87.5,63.7,B,19.2,34.4,52.6,148.8,44.4,89.6,A,73.8,83,88.7,91.3,10.4,B,26.2,17,11.3,8.7
36,0,All industries,13,New Brunswick,2,Urban,3,All businesses,2017,17354,30,5000,30,72,72,179,179,482,482,5000,454.4,A,47.7,117.5,299.5,1353.1,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
37,0,All industries,24,Québec,1,Rural,1,Unincorporated,2017,26193,30,5000,30,42,42,61,61,120,120,5000,121.2,A,35.7,50.3,84,314.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
38,0,All industries,24,Québec,1,Rural,2,Incorporated,2017,49165,30,5000,30,117,117,287,287,698,698,5000,597.5,A,69.5,192.8,457.2,1670.4,549.3,A,51.4,164.8,415,1566.1,90.5,48.2,B,18.2,28,42.2,104.3,50.4,91.9,A,73.9,85.5,90.8,93.8,8.1,B,26.1,14.5,9.2,6.2
39,0,All industries,24,Québec,1,Rural,3,All businesses,2017,75358,30,5000,30,63,63,160,160,457,457,5000,431.9,A,44.1,102.5,277.4,1303.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
40,0,All industries,24,Québec,2,Urban,1,Unincorporated,2017,139004,30,5000,30,40,40,56,56,102,102,5000,112.3,A,34.6,47.4,74.3,292.7,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
41,0,All industries,24,Québec,2,Urban,2,Incorporated,2017,195049,30,5000,30,110,110,263,263,673,673,5000,592.3,A,66.2,175.3,431.3,1696.2,522.2,A,50.1,144.2,372.5,1522.1,86.9,70,A,16.1,31.2,58.8,174.1,41.2,88.2,A,75.7,82.2,86.4,89.7,11.8,A,24.3,17.8,13.6,10.3
42,0,All industries,24,Québec,2,Urban,3,All businesses,2017,334053,30,5000,30,54,54,124,124,382,382,5000,392.5,A,40.6,82.4,222.7,1224.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
43,0,All industries,35,Ontario,1,Rural,1,Unincorporated,2017,29015,30,5000,30,47,47,80,80,166,166,5000,149,A,37.5,61.2,115.6,381.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
44,0,All industries,35,Ontario,1,Rural,2,Incorporated,2017,35245,30,5000,30,128,128,335,335,828,828,5000,677.2,A,73,216.1,537.3,1882.3,627.6,A,53.3,186.1,493.4,1777.4,89.4,49.6,B,19.7,30,43.8,104.8,49.7,92.7,A,73,86.1,91.8,94.4,7.3,B,27,13.9,8.2,5.6
45,0,All industries,35,Ontario,1,Rural,3,All businesses,2017,64260,30,5000,30,66,66,159,159,457,457,5000,438.7,A,45.1,105.1,274.4,1330.1,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
46,0,All industries,35,Ontario,2,Urban,1,Unincorporated,2017,251760,30,5000,30,42,42,64,64,121,121,5000,121.2,A,35.4,51.8,87.3,310.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
47,0,All industries,35,Ontario,2,Urban,2,Incorporated,2017,397174,30,5000,30,102,102,234,234,626,626,5000,560.3,A,62.6,159.2,391.8,1627.5,494,A,50.2,135.5,341.5,1449,87.7,66.2,B,12.4,23.7,50.3,178.6,36.3,88.2,A,80.2,85.1,87.2,89,11.8,B,19.8,14.9,12.8,11
48,0,All industries,35,Ontario,2,Urban,3,All businesses,2017,648934,30,5000,30,59,59,132,132,370,370,5000,389.9,A,42.6,89.9,221.5,1205.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
49,0,All industries,49,Prairies,1,Rural,1,Unincorporated,2017,25046,30,5000,30,43,43,66,66,127,127,5000,119.4,A,35.7,52.9,90.8,298.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
50,0,All industries,49,Prairies,1,Rural,2,Incorporated,2017,68740,30,5000,30,128,128,283,283,743,743,5000,615.2,A,75.5,195.8,469,1720.5,569.2,A,60.5,175.4,425.9,1615,93.7,46,B,15,20.5,43.1,105.5,62.3,92.5,A,80.1,89.6,90.8,93.9,7.5,B,19.9,10.4,9.2,6.1
51,0,All industries,49,Prairies,1,Rural,3,All businesses,2017,93786,30,5000,30,77,77,189,189,529,529,5000,482.8,A,49.6,126.8,317.4,1437.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
52,0,All industries,49,Prairies,2,Urban,1,Unincorporated,2017,76211,30,5000,30,41,41,60,60,108,108,5000,106.6,A,35.1,49.3,79.3,262.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
53,0,All industries,49,Prairies,2,Urban,2,Incorporated,2017,206050,30,5000,30,104,104,226,226,577,577,5000,529.2,A,64.5,158.4,362.8,1531,474.3,A,52,136.3,317.1,1391.8,89.6,54.9,B,12.5,22,45.7,139.3,44.6,89.6,A,80.6,86.1,87.4,90.9,10.4,B,19.4,13.9,12.6,9.1
54,0,All industries,49,Prairies,2,Urban,3,All businesses,2017,282261,30,5000,30,67,67,154,154,406,406,5000,415.1,A,45.7,104.5,251,1259.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
55,0,All industries,46,Manitoba,1,Rural,1,Unincorporated,2017,6493,30,5000,30,44,44,73,73,155,155,5000,134.9,A,36.4,56.7,105.9,340.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
56,0,All industries,46,Manitoba,1,Rural,2,Incorporated,2017,9155,30,5000,30,160,160,424,424,1009,1009,5000,770.1,A,84.2,272.9,675,2048.3,719.6,A,59.3,237.1,627.4,1954.5,91.3,50.5,B,24.8,35.8,47.6,93.8,72.5,93.4,A,70.5,86.9,92.9,95.4,6.6,B,29.5,13.1,7.1,4.6
57,0,All industries,46,Manitoba,1,Rural,3,All businesses,2017,15648,30,5000,30,67,67,185,185,580,580,5000,506.5,A,45.3,115.6,333.7,1531.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
58,0,All industries,46,Manitoba,2,Urban,1,Unincorporated,2017,15865,30,5000,30,44,44,72,72,144,144,5000,135,A,36.6,56.6,100.8,345.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
59,0,All industries,46,Manitoba,2,Urban,2,Incorporated,2017,23040,30,5000,30,129,129,304,304,759,759,5000,650.1,A,74.8,206.3,490.5,1828.9,580.5,A,53.8,171.1,428,1669.3,86.9,69.6,B,21,35.2,62.6,159.6,53.6,89.3,A,71.9,82.9,87.2,91.3,10.7,B,28.1,17.1,12.8,8.7
60,0,All industries,46,Manitoba,2,Urban,3,All businesses,2017,38905,30,5000,30,66,66,160,160,446,446,5000,440,A,45.2,105.2,268.5,1341.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
61,0,All industries,47,Saskatchewan,1,Rural,1,Unincorporated,2017,7402,30,5000,30,42,42,66,66,126,126,5000,121.1,A,35.6,52.5,90.9,305.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
