ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Percent of profitable businesses,Profitable : Total Revenue,"Profitable : Total Revenue, quality indicator","Profitable : Total Revenue, first quartile","Profitable : Total Revenue, second quartile","Profitable : Total Revenue, third quartile","Profitable : Total Revenue, fourth quartile",Profitable : Total Expenses,"Profitable : Total Expenses, quality indicator","Profitable : Total Expenses, first quartile","Profitable : Total Expenses, second quartile","Profitable : Total Expenses, third quartile","Profitable : Total Expenses, fourth quartile",Profitable : Net Profit,"Profitable : Net Profit, quality indicator","Profitable : Net Profit, first quartile","Profitable : Net Profit, second quartile","Profitable : Net Profit, third quartile","Profitable : Net Profit, fourth quartile",Non-profitable : Total Revenue,"Non-profitable : Total Revenue, quality indicator","Non-profitable : Total Revenue, first quartile","Non-profitable : Total Revenue, second quartile","Non-profitable : Total Revenue, third quartile","Non-profitable : Total Revenue, fourth quartile",Non-profitable : Total expenses,"Non-profitable : Total expenses, quality indicator","Non-profitable : Total expenses, first quartile","Non-profitable : Total expenses, second quartile","Non-profitable : Total expenses, third quartile","Non-profitable : Total expenses, fourth quartile",Non-profitable : Net loss,"Non-profitable : Net loss, quality indicator","Non-profitable : Net loss, first quartile","Non-profitable : Net loss, second quartile","Non-profitable : Net loss, third quartile","Non-profitable : Net loss, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,All industries,63,Territories,2,Urban,3,All businesses,2017,82.9,466.5,A,796,786.4,337.4,170.9,363.1,A,784.4,697.4,220.7,37.3,103.4,A,11.6,89,116.8,133.6,502.8,A,X,X,X,X,568,A,X,X,X,X,-65.1,B,X,X,X,X
29,0,All industries,60,Yukon,1,Rural,3,All businesses,2017,79.4,509.3,A,178.6,988.2,364.7,233.2,418,B,178.6,932.3,276.6,87.2,91.3,A,0,55.9,88.1,146,569.5,A,X,X,X,X,1222.2,A,X,X,X,X,-652.7,A,X,X,X,X
30,0,All industries,60,Yukon,2,Urban,3,All businesses,2017,83.3,427.2,A,750.3,714.8,272.4,186.8,326.6,A,737.7,626.8,174.3,42,100.5,A,12.6,88,98.2,144.7,442.8,A,X,X,X,X,500.4,A,X,X,X,X,-57.5,B,X,X,X,X
31,0,All industries,61,Nordwest Territories,1,Rural,3,All businesses,2017,74,597,B,X,X,597,221.2,496.6,B,X,X,488.3,72,100.5,B,X,X,108.7,149.2,753.2,B,X,X,X,X,864.1,B,X,X,X,X,-111,B,X,X,X,X
32,0,All industries,61,Nordwest Territories,2,Urban,3,All businesses,2017,82,549.4,A,891.1,936.5,474.7,140.8,439.8,A,881.8,844.3,321.5,29,109.6,A,9.2,92.2,153.2,111.8,612.2,A,X,X,X,X,691.2,A,X,X,X,X,-79,B,X,X,X,X
33,0,All industries,62,Nunavut,1,Rural,3,All businesses,2017,78,699.8,A,581.8,1317.6,606.4,189.5,563.8,B,581.2,1219.4,438.3,31.6,136.1,B,0.6,98.3,168.1,157.9,861.1,B,X,X,X,X,1056.7,B,X,X,X,X,-195.5,B,X,X,X,X
34,11,"Agriculture, forestry, fishing and hunting",0,Canada,1,Rural,3,All businesses,2017,55.2,456.3,B,X,X,594.7,253.7,349,A,X,X,505.2,109,107.3,B,X,X,89.5,144.7,879.4,B,X,X,X,X,1148.7,A,X,X,X,X,-269.3,A,X,X,X,X
35,11,"Agriculture, forestry, fishing and hunting",0,Canada,2,Urban,3,All businesses,2017,56.5,463.9,A,X,X,608.6,254.1,351.9,A,X,X,512.9,100.2,112.1,B,X,X,95.7,154,833.3,A,X,X,X,X,1112.4,A,X,X,X,X,-279.1,A,X,X,X,X
36,11,"Agriculture, forestry, fishing and hunting",15,Altantic,1,Rural,3,All businesses,2017,86.4,257.6,A,490.8,333.3,245.7,87.4,169.1,A,462.8,252,113.3,8,88.5,B,28,81.3,132.4,79.5,663.9,A,X,X,X,X,839.1,A,X,X,X,X,-175.2,A,X,X,X,X
37,11,"Agriculture, forestry, fishing and hunting",15,Altantic,2,Urban,3,All businesses,2017,79.6,295.4,A,842.7,459.5,206.1,119,201.6,A,826.1,374.7,98.4,15.6,93.8,A,16.7,84.8,107.7,103.4,648.9,A,X,X,X,X,848,A,X,X,X,X,-199.2,A,X,X,X,X
38,11,"Agriculture, forestry, fishing and hunting",10,Newfoundland and Labrador,1,Rural,3,All businesses,2017,90.3,127.2,A,237.3,166.3,81.3,66.5,77.3,A,218.4,119.2,24,2.1,49.9,A,18.9,47.2,57.3,64.4,294.1,A,X,X,X,X,359.2,A,X,X,X,X,-65.1,A,X,X,X,X
39,11,"Agriculture, forestry, fishing and hunting",10,Newfoundland and Labrador,2,Urban,3,All businesses,2017,89.9,268.8,A,784.8,312.1,92.6,93.6,172.3,A,704.7,186.4,10.8,1.6,96.5,A,80.1,125.7,81.7,91.9,374.9,B,X,X,X,X,457.6,A,X,X,X,X,-82.7,B,X,X,X,X
40,11,"Agriculture, forestry, fishing and hunting",11,Prince Edward Island,1,Rural,3,All businesses,2017,84.2,252.6,A,605.2,242.3,228.8,157.3,156.7,A,560.3,169.1,111.7,41.4,95.9,A,44.9,73.3,117.1,116,1157.6,A,X,X,X,X,1436.1,A,X,X,X,X,-278.6,A,X,X,X,X
41,11,"Agriculture, forestry, fishing and hunting",11,Prince Edward Island,2,Urban,3,All businesses,2017,67.1,284.1,A,X,X,208.8,272.1,173.2,A,X,X,128.3,80.8,110.8,B,X,X,80.4,191.3,783.6,A,X,X,X,X,1069.2,B,X,X,X,X,-285.6,B,X,X,X,X
42,11,"Agriculture, forestry, fishing and hunting",12,Nova Scotia,1,Rural,3,All businesses,2017,87.2,300,A,567.3,411.3,264.9,93.5,205.2,A,532,315.4,130.3,10.7,94.8,B,35.2,95.9,134.6,82.8,609.5,A,X,X,X,X,803.6,A,X,X,X,X,-194.1,B,X,X,X,X
43,11,"Agriculture, forestry, fishing and hunting",12,Nova Scotia,2,Urban,3,All businesses,2017,80.1,255.3,A,662.5,343.3,223.3,116.8,165.3,A,646.2,269.1,106.6,22.7,90,A,16.4,74.2,116.7,94.1,720.8,A,X,X,X,X,950.9,A,X,X,X,X,-230.1,A,X,X,X,X
44,11,"Agriculture, forestry, fishing and hunting",13,New Brunswick,1,Rural,3,All businesses,2017,80.9,404.5,A,639,507.9,382.4,268,268.1,A,626.6,430.3,215.5,74,136.4,B,12.5,77.6,166.9,194,718.7,A,X,X,X,X,897.1,A,X,X,X,X,-178.4,B,X,X,X,X
45,11,"Agriculture, forestry, fishing and hunting",13,New Brunswick,2,Urban,3,All businesses,2017,72.7,442.7,A,X,X,417.3,207.6,350.2,A,X,X,317.7,73.9,92.5,B,X,X,99.7,133.7,563.9,A,X,X,X,X,709.7,A,X,X,X,X,-145.9,A,X,X,X,X
46,11,"Agriculture, forestry, fishing and hunting",24,Québec,1,Rural,3,All businesses,2017,50.6,472.7,A,X,X,615.1,336.9,370.6,A,X,X,559.9,185.2,102.1,B,X,X,55.1,151.7,725.2,A,X,X,X,X,939.1,A,X,X,X,X,-213.9,A,X,X,X,X
47,11,"Agriculture, forestry, fishing and hunting",24,Québec,2,Urban,3,All businesses,2017,50.8,492.2,A,X,X,700,297.3,401,A,X,X,644.3,167.6,91.2,B,X,X,55.7,129.7,741.8,A,X,X,X,X,967.2,A,X,X,X,X,-225.4,A,X,X,X,X
48,11,"Agriculture, forestry, fishing and hunting",35,Ontario,1,Rural,3,All businesses,2017,40,581.7,A,X,X,X,X,468.6,A,X,X,X,X,113.1,A,X,X,X,X,943,A,893.9,992.5,X,X,1221.7,A,1364.5,1177.7,X,X,-278.8,A,-470.7,-185.2,X,X
49,11,"Agriculture, forestry, fishing and hunting",35,Ontario,2,Urban,3,All businesses,2017,45.8,553,A,X,X,X,X,430.4,A,X,X,X,X,122.6,A,X,X,X,X,842.7,A,755.8,937.1,X,X,1108.6,A,1190.7,1077.4,X,X,-265.9,B,-434.9,-140.2,X,X
50,11,"Agriculture, forestry, fishing and hunting",49,Prairies,1,Rural,3,All businesses,2017,41.1,659.9,B,X,X,X,X,529.7,A,X,X,X,X,130.2,B,X,X,X,X,983.3,B,882.7,1080.2,X,X,1298,A,1403.7,1288.1,X,X,-314.7,A,-521,-207.9,X,X
