"Small Business Profiles :  Financial ratios,  unincorporated and total businesses, Canada, regions and provinces/territories, 2017",,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2017",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are profit margin based.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Interest coverage ratio (times),"Interest coverage ratio (times), first quartile","Interest coverage ratio (times), second quartile","Interest coverage ratio (times), third quartile","Interest coverage ratio (times), fourth quartile",Gross margin (%),"Gross margin (%), first quartile","Gross margin (%), second quartile","Gross margin (%), third quartile","Gross margin (%), fourth quartile"
69,11,"Agriculture, forestry, fishing and hunting",0,Canada,2,Urban,1,Unincorporated,2017,29.2,1.5,23.5,65.5,456.1,83.6,63,89.3,97.3,99.8
70,11,"Agriculture, forestry, fishing and hunting",0,Canada,2,Urban,3,All businesses,2017,-2,-10.9,-1.1,9.1,43.8,89.9,97.1,86,82.3,97.5
71,11,"Agriculture, forestry, fishing and hunting",15,Altantic,1,Rural,1,Unincorporated,2017,36.3,7.7,26,77.2,5321.7,98.6,95.6,99.7,100,100
72,11,"Agriculture, forestry, fishing and hunting",15,Altantic,1,Rural,3,All businesses,2017,8.5,-3.5,14.8,42.2,203,92.8,88.4,94.6,98.4,99.7
73,11,"Agriculture, forestry, fishing and hunting",15,Altantic,2,Urban,1,Unincorporated,2017,35.6,7.4,27.5,87,2845,97.1,91.1,99.7,99.9,100
74,11,"Agriculture, forestry, fishing and hunting",15,Altantic,2,Urban,3,All businesses,2017,4,-4,9.3,34.7,100.9,88,83.4,87,98.9,100
75,11,"Agriculture, forestry, fishing and hunting",10,Newfoundland and Labrador,1,Rural,1,Unincorporated,2017,51.7,4.1,47.6,289.1,11489.9,99.8,99.5,100,100,100
76,11,"Agriculture, forestry, fishing and hunting",10,Newfoundland and Labrador,1,Rural,3,All businesses,2017,14.9,-0.9,16.6,54.9,1587.9,94.3,89.9,96.4,99.9,100
77,11,"Agriculture, forestry, fishing and hunting",10,Newfoundland and Labrador,2,Urban,1,Unincorporated,2017,130.3,23.4,123.9,X,126996.5,99.4,98,100,100,100
78,11,"Agriculture, forestry, fishing and hunting",10,Newfoundland and Labrador,2,Urban,3,All businesses,2017,13,2,13.5,93.7,189657.3,84.1,72.3,97.9,100,100
79,11,"Agriculture, forestry, fishing and hunting",11,Prince Edward Island,1,Rural,1,Unincorporated,2017,20.2,7.4,15.7,27.1,112.6,99.4,98.1,100,99.8,100
80,11,"Agriculture, forestry, fishing and hunting",11,Prince Edward Island,1,Rural,3,All businesses,2017,4.1,-3.7,13,24.3,61.4,95.9,94,97.3,99.8,100
